,UF,Instituição de Ensino,Contagem,Proporção
45,SP,Universidade Federal de São Carlos,9,0.7%
46,PR,Universidade Estadual do Norte do Paraná,8,0.62%
47,MS,Universidade Estadual de Mato Grosso do Sul,8,0.62%
48,DF,Universidade de Brasília,8,0.62%
49,BA,Universidade Estadual do Sudoeste da Bahia,8,0.62%
50,PA,Universidade Federal do Pará,7,0.55%
51,PA,Universidade Federal Rural da Amazônia,7,0.55%
52,PB,Universidade Federal da Paraíba,7,0.55%
53,MS,Universidade Federal de Dourados,7,0.55%
54,PI,Universidade Estadual do Piauí,7,0.55%
55,PB,Universidade Estadual da Paraíba,6,0.47%
56,PR,Universidade Federal da Integração Latino-Americana,6,0.47%
57,DF,Universidade do Distrito Federal,6,0.47%
58,PE,Universidade Federal de Pernambuco,5,0.39%
59,RN,Universidade Federal do Rio Grande do Norte,5,0.39%
60,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,5,0.39%
61,RS,Universidade Federal do Rio Grande do Sul,5,0.39%
62,SC,Universidade Federal da Fronteira Sul,5,0.39%
63,BA,Universidade Federal do Recôncavo da Bahia,5,0.39%
64,RS,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",5,0.39%
65,RR,Universidade Estadual de Roraima,4,0.31%
66,RS,Instituto Federal do Rio Grande do Sul,4,0.31%
67,RS,Universidade Federal de Santa Maria,4,0.31%
68,GO,Universidade Estadual de Goiás,4,0.31%
69,MG,Universidade Federal de São João del Rei,3,0.23%
70,MG,Universidade Federal de Ouro Preto,3,0.23%
71,MG,Universidade Federal de Juiz de Fora,3,0.23%
72,RJ,Universidade do Rio de Janeiro,2,0.16%
73,SP,Universidade Federal de São Paulo,2,0.16%
74,AC,Colégio de Aplicação da Universidade Federal do Acre,2,0.16%
75,TO,Universidade de Guripi,2,0.16%
76,PE,Universidade Federal do Agreste de Pernambuco,2,0.16%
77,MG,Centro Federal de Educação Tecnológica de Minas Gerais,2,0.16%
78,GO,Instituto Federal de Goiás,2,0.16%
79,MG,Universidade do Estado de Minas Gerais,2,0.16%
80,PA,Universidade Federal do Sul e Sudeste do Pará,2,0.16%
81,BA,Universidade Federal da Bahia,2,0.16%
82,PB,Universidade Federal de Campina Grande,2,0.16%
83,AP,Universidade Federal do Amapá,2,0.16%
84,PI,Universidade Federal do Delta do Parnaíba,2,0.16%
85,PR,Instituto Federal do Paraná,2,0.16%
86,PR,Universidade Estadual do Centro-Oeste,2,0.16%
87,MA,Universidade Estadual do Maranhão,1,0.08%
88,BA,Universidade Federal do Oeste da Bahia,1,0.08%
89,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,1,0.08%
90,SP,Rede Municipal de Diadema,1,0.08%
91,SP,Faculdade de Medicina de Jundiaí,1,0.08%
92,AM,Universidade Estadual do Amazonas,1,0.08%
93,TO,Universidade Federal do Norte de Tocantins,1,0.08%
94,MA,Universidade Estadual da Região Tocantina do Maranhão,1,0.08%
95,RJ,Secretaria de Estado de Educação do Rio de Janeiro,1,0.08%
96,RS,Universidade de Santa Cruz do Sul,1,0.08%
97,RS,Universidade Federal do Pampa,1,0.08%
98,RJ,Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro,1,0.08%
99,MG,Universidade Estadual de Montes Claros,1,0.08%
100,MG,Universidade Federal do Triângulo Mineiro,1,0.08%
101,PA,Instituto Federal do Pará Campus Castanhal,1,0.08%
102,RO,Instituto Federal de Rondônia,1,0.08%
103,RN,Universidade Federal Rural do Semi-Árido,1,0.08%
104,RJ,Universidade Federal do Estado do Rio de Janeiro,1,0.08%
105,RJ,Colégio de Aplicação da Universidade do Estado do Rio de Janeiro,1,0.08%
106,MG,Instituto Federal do Sudeste Mineiro,1,0.08%
