,UF,Instituição de Ensino,Contagem,Proporção
75,RJ,Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro,3,0.17%
76,SP,Universidade Federal de São Paulo,3,0.17%
77,RN,Universidade Federal Rural do Semi-Árido,3,0.17%
78,TO,Universidade de Guripi,3,0.17%
79,MG,Universidade do Estado de Minas Gerais,3,0.17%
80,PR,Universidade Estadual do Centro-Oeste,3,0.17%
81,PI,Universidade Federal do Delta do Parnaíba,3,0.17%
82,BA,Universidade Federal da Bahia,3,0.17%
83,MG,Universidade Federal de São João del Rei,3,0.17%
84,PA,Universidade Federal do Sul e Sudeste do Pará,3,0.17%
85,AC,Colégio de Aplicação da Universidade Federal do Acre,2,0.11%
86,MG,Universidade Estadual de Montes Claros,2,0.11%
87,MG,Universidade Federal do Triângulo Mineiro,2,0.11%
88,GO,Instituto Federal de Goiás,2,0.11%
89,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,2,0.11%
90,AP,Universidade Federal do Amapá,2,0.11%
91,RJ,Universidade do Rio de Janeiro,2,0.11%
92,AP,Universidade Estado do Amapá,2,0.11%
93,PE,Universidade Federal do Agreste de Pernambuco,2,0.11%
94,PR,Instituto Federal do Paraná,2,0.11%
95,AM,Universidade Estadual do Amazonas,1,0.06%
96,SP,Universidade Estadual Paulista,1,0.06%
97,TO,Universidade Federal do Norte de Tocantins,1,0.06%
98,SP,Rede Municipal de Diadema,1,0.06%
99,SP,Instituto Federal de São Paulo,1,0.06%
100,SP,Faculdade de Medicina de Jundiaí,1,0.06%
101,BA,Universidade Federal do Oeste da Bahia,1,0.06%
102,BA,Ceep em Biotecnologia e Saúde,1,0.06%
103,RJ,Colégio de Aplicação da Universidade do Estado do Rio de Janeiro,1,0.06%
104,RS,Universidade de Santa Cruz do Sul,1,0.06%
105,GO,Instituto Federal de Goiás Campus Goiânia Oeste,1,0.06%
106,RS,Universidade Federal do Pampa,1,0.06%
107,MA,Universidade Estadual da Região Tocantina do Maranhão,1,0.06%
108,MG,Instituto Federal do Sudeste Mineiro,1,0.06%
109,RS,Eeiem Nhamandu Nhemopu'ã,1,0.06%
110,MG,Universidade Federal de Alfenas,1,0.06%
111,RO,Instituto Federal de Rondônia,1,0.06%
112,MT,Instituto Federal do Mato Grosso,1,0.06%
113,PA,Instituto Federal do Pará Campus Castanhal,1,0.06%
114,RJ,Universidade Federal do Estado do Rio de Janeiro,1,0.06%
115,RJ,Secretaria de Estado de Educação do Rio de Janeiro,1,0.06%
116,MA,Universidade Estadual do Maranhão,1,0.06%
