,uf_instituicao,instituicao,contagem
78,PR,Universidade Estadual do Centro-Oeste,7
79,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,6
80,RN,Universidade Federal do Rio Grande do Norte,5
81,MG,Universidade do Estado de Minas Gerais,5
82,RR,Universidade Estadual de Roraima,5
83,TO,Universidade de Guripi,4
84,MA,Universidade Estadual do Maranhão,4
85,PA,Universidade Federal do Sul e Sudeste do Pará,4
86,RJ,Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro,3
87,PI,Universidade Federal do Delta do Parnaíba,3
88,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,3
89,GO,Universidade Federal de Catalão,3
90,RJ,Universidade Federal do Estado do Rio de Janeiro,3
91,RJ,Universidade do Rio de Janeiro,3
92,RN,Universidade Federal Rural do Semi-Árido,3
93,MG,Universidade Federal do Triângulo Mineiro,2
94,AP,Universidade Estado do Amapá,2
95,GO,Instituto Federal de Goiás,2
96,PR,Instituto Federal do Paraná,2
97,MG,Universidade Estadual de Montes Claros,2
98,AC,Colégio de Aplicação da Universidade Federal do Acre,2
99,PE,Universidade Federal do Agreste de Pernambuco,2
100,RJ,Universidade Federal Rural do Rio de Janeiro,2
101,ES,Faculdade de Música do Espírito Santo,1
102,TO,Universidade Federal do Norte de Tocantins,1
103,RJ,Colégio de Aplicação da Universidade do Estado do Rio de Janeiro,1
104,SP,Universidade Nove de Julho,1
105,BA,Ceep em Biotecnologia e Saúde,1
106,CE,Instituto Federal do Ceará,1
107,RJ,Secretaria de Estado de Educação do Rio de Janeiro,1
108,ES,Associação Brasileira de Odontologia do Espírito Santo,1
109,SP,Universidade Estadual Paulista,1
110,SP,Rede Municipal de Diadema,1
111,SP,Instituto Federal de São Paulo,1
112,SP,Faculdade de Medicina de Jundiaí,1
113,SP,Colégio Técnico de Campinas,1
114,RO,Instituto Federal de Rondônia,1
115,MT,Instituto Federal do Mato Grosso,1
116,GO,Instituto Federal de Goiás Campus Goiânia Oeste,1
117,RS,Universidade de Santa Cruz do Sul,1
118,RS,Universidade Federal do Pampa,1
119,MA,Instituto Federal do Maranhão,1
120,MA,Universidade Estadual da Região Tocantina do Maranhão,1
121,PA,Instituto Federal do Pará Campus Castanhal,1
122,MG,Instituto Federal do Sudeste Mineiro,1
123,MT,Instituto Saberes,1
124,RS,Eeiem Nhamandu Nhemopu'ã,1
125,MG,Universidade Federal de Alfenas,1
126,MG,Universidade Federal de Itajubá,1
127,PR,Instituto Federal do Paraná Campus Cascavel,1
