,UF,Instituição de Ensino,Contagem,Proporção
42,MS,Universidade Estadual de Mato Grosso do Sul,9,0.96%
43,MG,Universidade Federal de Viçosa,9,0.96%
44,PA,Universidade Federal Rural da Amazônia,8,0.85%
45,SE,Universidade Federal de Sergipe,7,0.74%
46,PR,Universidade Estadual de Maringá,7,0.74%
47,AL,Universidade Federal de Alagoas,7,0.74%
48,GO,Universidade Estadual de Goiás,7,0.74%
49,MG,Universidade Federal de Lavras,7,0.74%
50,RS,Instituto Federal do Rio Grande do Sul,6,0.64%
51,CE,Universidade Federal do Ceará,6,0.64%
52,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,6,0.64%
53,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,6,0.64%
54,MT,Universidade Federal de Rondonópolis,6,0.64%
55,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,5,0.53%
56,PB,Universidade Federal de Campina Grande,5,0.53%
57,PE,Universidade de Pernambuco,5,0.53%
58,PB,Universidade Estadual da Paraíba,5,0.53%
59,CE,Universidade Regional do Cariri,5,0.53%
60,MG,Universidade Federal de Juiz de Fora,5,0.53%
61,PR,Universidade Estadual de Ponta Grossa,4,0.43%
62,SP,Universidade Federal de São Paulo,4,0.43%
63,PR,Universidade Estadual do Norte do Paraná,4,0.43%
64,SC,Universidade Federal da Fronteira Sul,4,0.43%
65,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,4,0.43%
66,SP,Universidade Federal de São Carlos,4,0.43%
67,PE,Universidade Federal de Pernambuco,3,0.32%
68,PA,Universidade Federal do Pará,3,0.32%
69,BA,Universidade Federal do Recôncavo da Bahia,3,0.32%
70,MA,Universidade Estadual do Maranhão,3,0.32%
71,AP,Universidade Federal do Amapá,2,0.21%
72,RJ,Universidade Federal Rural do Rio de Janeiro,2,0.21%
73,AP,Universidade Estado do Amapá,2,0.21%
74,RN,Universidade Federal Rural do Semi-Árido,2,0.21%
75,TO,Universidade de Guripi,2,0.21%
76,PR,Universidade Estadual do Centro-Oeste,2,0.21%
77,RJ,Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro,2,0.21%
78,PA,Universidade Federal do Sul e Sudeste do Pará,2,0.21%
79,MG,Universidade do Estado de Minas Gerais,2,0.21%
80,PA,Universidade Federal do Oeste do Pará,2,0.21%
81,RJ,Universidade Federal Fluminense,1,0.11%
82,MT,Instituto Saberes,1,0.11%
83,PI,Universidade Federal do Delta do Parnaíba,1,0.11%
84,PB,Universidade Federal da Paraíba,1,0.11%
85,BA,Ceep em Biotecnologia e Saúde,1,0.11%
86,SP,Universidade Estadual Paulista,1,0.11%
87,SP,Instituto Federal de São Paulo,1,0.11%
88,SP,Colégio Técnico de Campinas,1,0.11%
89,BA,Universidade Federal da Bahia,1,0.11%
90,MT,Instituto Federal do Mato Grosso,1,0.11%
91,RJ,Universidade Federal do Estado do Rio de Janeiro,1,0.11%
92,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,1,0.11%
93,RS,Universidade Federal de Rio Grande,1,0.11%
94,GO,Instituto Federal de Goiás Campus Goiânia Oeste,1,0.11%
95,MA,Instituto Federal do Maranhão,1,0.11%
96,RS,Eeiem Nhamandu Nhemopu'ã,1,0.11%
97,MG,Universidade Estadual de Montes Claros,1,0.11%
98,RJ,Universidade do Rio de Janeiro,1,0.11%
99,PI,Universidade Estadual do Piauí,1,0.11%
100,MG,Universidade Federal do Triângulo Mineiro,1,0.11%
101,MG,Universidade Federal de Alfenas,1,0.11%
