,uf_instituicao,instituicao,contagem
63,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,8
64,MS,Universidade Federal de Dourados,8
65,GO,Universidade Estadual de Goiás,7
66,PR,Universidade Estadual do Centro-Oeste,7
67,MG,Universidade Federal de Juiz de Fora,7
68,PB,Universidade Federal de Campina Grande,7
69,MG,Universidade Federal de Ouro Preto,6
70,RS,Universidade Federal de Santa Maria,6
71,RN,Universidade Federal do Rio Grande do Norte,5
72,RR,Universidade Estadual de Roraima,4
73,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,4
74,TO,Universidade de Guripi,4
75,MG,Centro Federal de Educação Tecnológica de Minas Gerais,4
76,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",4
77,AM,Universidade Estadual do Amazonas,4
78,MG,Universidade Federal de São João del Rei,4
79,RN,Universidade Federal Rural do Semi-Árido,3
80,PA,Universidade Federal do Sul e Sudeste do Pará,3
81,SP,Universidade Federal de São Paulo,3
82,RJ,Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro,3
83,BA,Universidade Federal da Bahia,3
84,MG,Universidade do Estado de Minas Gerais,3
85,PI,Universidade Federal do Delta do Parnaíba,3
86,AP,Universidade Estado do Amapá,2
87,AP,Universidade Federal do Amapá,2
88,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,2
89,GO,Instituto Federal de Goiás,2
90,MG,Universidade Estadual de Montes Claros,2
91,PR,Instituto Federal do Paraná,2
92,RJ,Universidade do Rio de Janeiro,2
93,MG,Universidade Federal do Triângulo Mineiro,2
94,PE,Universidade Federal do Agreste de Pernambuco,2
95,AC,Colégio de Aplicação da Universidade Federal do Acre,2
96,MG,Instituto Federal do Sudeste Mineiro,1
97,RJ,Universidade Federal do Estado do Rio de Janeiro,1
98,TO,Universidade Federal do Norte de Tocantins,1
99,RO,Instituto Federal de Rondônia,1
100,PA,Instituto Federal do Pará Campus Castanhal,1
101,MT,Instituto Saberes,1
102,RJ,Colégio de Aplicação da Universidade do Estado do Rio de Janeiro,1
103,BA,Ceep em Biotecnologia e Saúde,1
104,SP,Universidade Estadual Paulista,1
105,SP,Rede Municipal de Diadema,1
106,SP,Instituto Federal de São Paulo,1
107,SP,Faculdade de Medicina de Jundiaí,1
108,MT,Instituto Federal do Mato Grosso,1
109,BA,Universidade Federal do Oeste da Bahia,1
110,MG,Universidade Federal de Alfenas,1
111,RS,Universidade de Santa Cruz do Sul,1
112,ES,Associação Brasileira de Odontologia do Espírito Santo,1
113,RS,Universidade Federal do Pampa,1
114,MG,Universidade Federal de Itajubá,1
115,GO,Instituto Federal de Goiás Campus Goiânia Oeste,1
116,MA,Universidade Estadual da Região Tocantina do Maranhão,1
117,MA,Universidade Estadual do Maranhão,1
118,RS,Eeiem Nhamandu Nhemopu'ã,1
119,RJ,Secretaria de Estado de Educação do Rio de Janeiro,1
